connection,attention,meditation,delta, theta, low alpha, high alpha, low beta, high beta, low gamma, high gamma, id
0,57,48,947151,129988,54266,48945,54244,33528,37887,5317,1
26,57,48,438238,17970,6365,11646,14044,6540,4896,1784,1
0,56,48,679942,68828,11762,54104,14567,139284,4205,7120,1
26,56,48,178018,40288,4842,13846,6037,41252,1855,686,1
0,47,40,2563890,370695,85408,149245,156934,166974,230345,11941,1
0,48,50,448955,71862,10969,90418,12925,65101,3767,2940,1
0,64,54,704115,29701,14417,118883,11684,149812,7310,6424,1
0,57,56,7642,9174,2828,4302,399,7360,455,361,1
26,57,56,55787,90498,5825,19285,8363,20465,2079,469,1
26,57,56,185960,28304,5257,3124,12119,25430,3425,1121,1
0,66,54,1988547,475770,61557,312330,15613,631326,47738,17726,1
26,66,54,23811,3710,1593,3674,1382,7521,471,257,1
0,69,51,93728,19094,520,19997,2809,25786,1802,1582,1
0,56,48,1920283,592220,204206,230893,61367,210069,78786,13533,1
0,60,51,314340,92863,26251,107461,6428,145871,10632,7190,1
26,60,51,260575,57454,5383,14862,2301,42177,2706,872,1
26,60,51,874271,32243,6985,15520,4328,16730,5548,2507,1
26,60,51,276157,11276,17318,5952,9260,2864,10249,1660,1
0,56,51,622375,184001,4153,99889,8711,161450,11555,5351,1
26,56,51,484321,72399,6032,16224,18740,37406,1937,1452,1
26,56,51,80227,6135,2362,6472,1227,7702,370,653,1
0,56,47,96785,30485,2753,14742,5576,29195,3236,1047,1
26,56,47,259106,42631,8767,19875,2560,16263,2500,1574,1
0,57,61,717112,20845,43962,138032,9271,41904,38562,4364,1
26,57,61,368691,31781,986,4573,9484,47404,919,1657,1
0,54,57,141037,32086,9086,15589,2371,28592,863,1061,1
0,57,56,426182,118760,24286,47761,26251,126728,14264,6055,1
0,54,63,2881047,110061,253331,116404,361278,199402,73082,8349,1
26,54,63,482246,70542,14451,20908,3457,39141,1331,1046,1
0,38,35,146825,556173,9594,76588,9731,18050,87275,4433,1
26,38,35,491281,37320,2465,7385,17151,15454,2275,677,1
0,34,29,677756,838452,73991,190954,46773,338769,16819,5607,1
0,29,30,434160,87297,47877,13141,53219,69423,8046,3932,1
0,35,30,408835,38362,48547,46868,6657,108152,7425,4417,1
0,48,43,577609,70222,15727,17356,1359,14938,3500,1064,1
0,54,47,185665,9649,2013,11198,12108,14554,3514,958,1
0,56,40,811471,501090,97991,39580,97879,356099,28363,9994,1
0,53,29,669241,178307,31130,31596,15986,116377,5327,1700,1
0,56,20,177976,64424,244,12498,6125,17187,1486,758,1
26,56,20,102745,13694,519,2932,2400,6447,263,143,1
0,40,26,194872,114154,28956,93694,20719,20640,17817,4424,1
0,27,38,466040,87216,24736,41639,65178,17310,25703,4879,1
26,27,38,202675,86094,1978,29721,1074,41115,1117,1531,1
26,27,38,57961,8722,1727,4690,2205,7454,833,329,1
26,27,38,1788682,78263,70775,97008,14065,73901,37118,4350,1
0,26,37,874664,473497,33698,104376,10787,276857,8238,5664,1
26,26,37,173750,128077,6891,22653,8212,51811,3496,1512,1
0,23,51,559482,148234,24473,135168,37003,46271,51312,4154,1
0,41,47,92237,19414,11604,19227,1858,42381,2739,965,1
0,48,53,369776,94244,32219,120090,17719,70924,18362,8679,1
0,48,60,1258227,193980,23367,114386,39025,151019,5854,3950,1
26,48,60,393857,22923,9570,27954,1598,47657,4132,1823,1
0,50,61,517766,44237,19867,35892,17585,18275,6779,2736,1
0,51,56,199302,13830,7720,6948,9783,26210,3002,782,1
0,54,61,591494,14104,30634,93256,8558,70174,23608,7127,1
26,54,61,20653,19311,4965,4332,583,11595,1201,137,1
0,48,64,490351,137580,12505,92064,9382,43046,66699,2822,1
0,56,60,933141,111985,9860,73344,6964,90196,13140,6139,1
26,56,60,127104,151161,6170,21965,1354,47818,2025,783,1
0,43,67,1893232,489734,172500,274939,20638,192978,104802,8660,1
0,34,54,1008703,304192,94061,50321,8543,63485,26987,2063,1
0,38,37,1933608,261800,13599,22199,64319,82058,8989,3831,1
0,37,35,386943,192722,23075,121558,12153,156833,9001,3193,1
26,37,35,139522,11828,3024,7707,6070,4440,1963,880,1
26,37,35,52184,3733,2431,3083,1325,3391,1188,827,1
26,37,35,1304336,49283,8690,15190,2096,9225,6824,891,1
0,44,24,378613,237240,15118,91289,6440,178030,14263,3709,1
0,51,16,31606,86905,6276,13009,955,40928,1361,588,1
0,56,35,254715,16210,666,21313,3133,18468,2191,808,1
0,48,41,142298,34445,10861,20094,2561,10903,11335,1157,1
0,53,48,519442,76012,7946,142291,7727,181871,10213,6349,1
26,53,48,1627420,265166,55430,65695,16403,54518,54133,7452,1
26,53,48,48580,36303,1460,4174,1000,8523,229,390,1
26,53,48,1577295,26270,5023,11834,21825,11819,12844,2493,1
26,53,48,462641,62514,10696,31936,4863,26770,2615,3951,1
26,53,48,133142,22976,6199,12218,1833,5933,896,555,1
0,51,70,188510,17905,4820,62827,2966,30278,3801,635,1
0,30,67,2071295,1479433,17919,617878,56509,75817,138663,43924,1
0,37,61,1478920,147403,18368,76768,9553,77895,35075,7155,1
26,37,61,207990,86829,11512,23994,2772,36390,1762,1338,1
26,37,61,314719,86738,2118,45099,3420,7661,3376,2311,1
0,11,64,599807,224863,91845,134809,28338,17782,19516,4130,1
0,17,51,70470,31117,11487,18671,2431,48261,2468,1285,1
0,41,47,394654,32353,2571,13890,4662,28931,2291,481,1
0,41,48,1732583,104474,33064,40941,26820,51874,35530,4192,1
0,63,50,138299,7225,3643,23615,1626,21119,3533,875,1
0,54,30,91937,122318,2779,7925,2636,45209,2936,703,1
0,44,44,71212,29250,7229,32246,2426,11511,5687,1142,1
26,44,44,256282,12316,2558,14343,7605,2738,10768,942,1
0,61,34,530761,90766,9686,77783,129646,454834,35918,7812,1
26,61,34,49785,9850,4101,5453,7936,8103,3466,2456,1
0,57,26,48187,35532,7359,21178,2289,22858,2823,961,1
0,61,41,3262199,197596,56404,105012,125859,166288,171033,25796,1
0,70,35,175897,139317,16258,126999,11505,157825,8514,5044,1
0,56,35,75170,73168,2923,11221,4707,39138,1752,998,1
26,56,35,115041,18492,1558,4474,1579,5056,715,177,1
0,51,47,548485,29172,10416,65480,6673,18091,48297,2728,1
0,53,37,850727,180209,16442,25570,10812,127539,10516,2811,1
26,53,37,451518,41488,12188,6286,9373,44962,915,408,1
0,50,30,124046,71588,18848,14101,16161,38592,847,728,1
0,41,43,140564,39546,20297,5239,15797,10677,5932,929,1
0,56,27,591756,82405,20379,55088,8538,150167,3083,2778,1
0,60,34,129639,22356,4308,12136,21747,44598,992,624,1
26,60,34,129513,17646,818,3822,1176,8287,368,285,1
0,56,40,1921574,413470,70290,321384,69753,171702,62682,14247,1
0,56,43,1260183,457505,189419,188649,220896,139241,109742,7892,1
0,50,29,702365,369691,7201,42387,7394,199007,2740,1014,1
0,47,30,312326,39047,8018,11184,2838,32776,2106,957,1
26,47,30,59179,13242,1497,748,4052,7122,223,310,1
0,37,24,1092777,302278,32398,65237,5026,25007,28157,3331,1
0,40,20,595682,140399,53567,36255,37211,69960,13069,999,1
26,40,20,616311,58798,4040,24713,13059,28433,894,575,1
0,35,30,1156690,179859,5156,57334,13990,57446,11552,2433,1
0,14,47,1248737,114660,61869,113574,11497,14700,42294,3976,1
26,14,47,1454981,554594,15624,135703,50628,41846,16571,17391,1
26,14,47,1005813,17674,1905,28604,14894,16081,11426,2196,1
0,38,54,113108,4031,8549,16314,5563,33113,1599,1211,1
0,37,54,2294049,442580,109680,130751,91191,162484,187355,10272,1
26,37,54,146336,93125,6907,13510,1585,37108,2288,383,1
26,37,54,145274,4634,1324,4351,1135,8519,203,366,1
0,38,63,834540,125504,42536,66937,13908,65065,13443,12136,1
26,38,63,137574,20967,5889,24971,9962,35654,1671,2745,1
0,56,47,102320,51488,4372,15461,4430,40507,1312,870,1
26,56,47,659351,38412,4975,20079,8966,30984,1311,675,1
0,37,41,91024,83131,12018,25748,5651,12443,2516,860,1
0,47,41,322455,117730,34729,71442,4619,165061,7513,2635,1
0,48,35,181018,72899,4502,26529,1104,33604,1955,302,1
0,51,38,314410,19263,3119,12067,4548,28824,942,765,1
0,61,48,134814,17887,12376,29800,3444,20672,2720,1959,1
0,64,50,401906,52761,27319,62840,5638,157347,4148,4440,1
26,64,50,332018,36952,12422,27515,2925,47381,1743,585,1
0,70,53,657281,73134,81196,41480,54673,151503,4035,2422,1
0,66,63,131405,15817,5782,23521,2775,24571,1819,836,1
0,69,47,426440,191602,13858,61099,20319,149484,5738,2220,1
0,67,30,510197,216469,34257,8469,35650,211290,4199,2344,1
0,60,30,1131713,93111,18909,49725,12221,49543,16548,3518,1
0,63,23,254957,33203,4297,14323,3968,35543,1236,636,1
0,64,27,1291132,362147,181174,109531,85576,402147,39861,5995,1
26,64,27,454290,26579,10237,5748,10462,37855,2127,1136,1
26,64,27,321270,60040,13363,4209,6629,33707,1137,669,1
0,53,47,141056,126304,4162,94533,21015,37038,10044,3684,1
0,64,37,375675,176806,69206,69495,132049,490674,32907,11847,1
26,64,37,75959,6778,1396,2897,2745,8896,515,218,1
0,56,30,176716,103583,11263,15129,813,30943,771,865,1
0,40,34,3913309,465466,170775,55667,51489,53033,138386,10179,1
0,50,26,553677,129926,28533,60757,2311,135145,6563,1675,1
0,38,23,305198,395973,9322,61976,6605,156870,9877,2772,1
0,26,23,1469013,517462,7203,95425,18944,44340,16430,3575,1
0,29,26,786008,126229,31119,58360,7036,21950,38426,4016,1
0,27,27,629168,128718,36008,66909,4694,145067,8165,2476,1
26,27,27,117422,6398,579,1241,2711,8944,516,282,1
0,34,41,169119,14221,13571,8687,9467,22484,2561,1618,1
0,43,50,804964,92626,7229,53426,26564,34822,27276,4935,1
0,56,54,559153,56358,46911,102047,10549,112498,14326,4595,1
0,57,35,97374,75063,1626,1253,4307,50724,2553,1752,1
26,57,35,134438,4835,2330,5658,468,7931,234,454,1
26,57,35,835028,19194,1642,6187,786,5292,3339,253,1
0,61,37,256764,50509,16510,41564,6783,103805,3458,3250,1
0,74,40,71808,17963,1068,16295,2851,33112,2017,686,1
0,66,27,35690,74100,4711,11857,6535,23299,1804,408,1
0,60,57,991985,33605,20787,37337,8576,23828,32789,2288,1
0,51,57,1237556,167635,44925,56811,2696,112212,7776,939,1
26,51,57,141642,60892,9762,670,20664,46576,2729,792,1
26,51,57,90487,33328,34212,2084,25898,24144,3102,1793,1
0,29,60,1611885,179246,8627,67075,4197,15860,49370,4834,1
0,35,63,633916,222404,21956,88039,4525,165589,5372,3761,1
0,43,63,2989771,198732,130622,400429,21066,521197,23233,15968,1
0,43,61,662412,157759,60460,42615,62859,102842,9101,2977,1
0,56,66,1364884,310022,114419,299862,18116,233807,44498,14884,1
26,56,66,168266,11598,1693,15724,5474,36525,2582,786,1
0,63,57,819916,137296,19364,23768,29690,217199,7587,2877,1
0,63,53,250279,30362,7327,18839,2045,32262,1255,630,1
26,63,53,110108,6907,1115,3247,1340,8254,235,249,1
0,48,51,1320582,239929,5526,68844,20452,16465,38367,4383,1
0,56,44,1333303,90315,11965,52237,6033,134763,8502,3459,1
0,44,54,1386899,183455,33215,79865,10392,97373,3163,2293,1
0,38,54,1302013,122762,19637,55701,8251,50587,15446,4427,1
0,56,66,91119,997,14012,13638,7111,15514,2008,715,1
26,56,66,304502,28227,3847,13950,7513,28579,1370,368,1
26,56,66,118510,11605,2073,5665,1069,9926,444,315,1
0,60,70,1176891,18649,10764,59855,7012,130358,6006,4171,1
0,67,67,589091,49048,4956,46224,79576,65703,4649,3257,1
0,77,67,1982383,302645,35800,321525,45343,574970,28828,9470,1
0,80,63,55025,13837,5953,23742,2076,32055,2189,708,1
0,64,66,1457655,37540,30624,46147,34204,26862,50006,3384,1
0,56,75,1004211,130017,137671,37154,18728,80013,14648,5314,1
26,56,75,1302710,28161,18708,61109,22432,150700,5285,3495,1
0,50,64,576240,340768,11773,47491,9995,152639,5498,2301,1
0,47,56,250427,45000,4872,13701,5674,36217,837,1141,1
26,47,56,304641,10635,5628,18706,5204,11537,1953,1364,1
0,40,48,1054739,205574,17358,56372,71074,28959,53419,2889,1
0,37,43,469818,181601,17185,91080,10397,50950,20435,2177,1
26,37,43,229522,5852,2655,1772,2838,7358,117,131,1
0,37,44,1560842,156738,1839,33491,50753,60830,13141,2563,1
0,41,41,769529,57700,11474,30486,81775,119329,4322,3062,1
0,57,48,2259116,194148,86674,365539,48544,484687,37468,16664,1
26,57,48,325625,52151,5579,22890,1534,30040,1220,1071,1
26,57,48,239718,29641,13362,21886,3191,31317,661,844,1
26,57,48,84925,1807,2183,2210,1959,7488,324,205,1
26,57,48,195960,30358,429,15720,844,31748,2436,586,1
26,57,48,177744,86674,3327,17583,5099,25459,2096,595,1
0,53,57,204904,135897,16301,243524,12141,34710,22670,2541,1
0,50,78,661988,19962,29085,81458,22690,27517,38778,2001,1
0,54,78,87817,18942,15142,11396,28717,100285,10311,2697,1
0,48,69,1639901,327179,44865,68806,10897,136360,10652,3407,1
0,53,50,98621,146977,8098,14799,1038,32351,838,746,1
26,53,50,387662,20346,2051,8583,12762,27835,2358,807,1
26,53,50,336031,30762,9994,10416,6809,36347,1087,804,1
0,63,40,267697,31154,6302,28744,2340,45252,895,372,1
26,63,40,648891,10625,16716,13000,4735,28572,3033,1530,1
26,63,40,94954,14127,4500,1326,2450,9578,1205,701,1
0,30,44,1280791,524387,40230,93662,10866,29963,16157,4500,1
0,26,50,51618,32298,6057,14556,3196,9599,6551,1013,1
0,30,61,223041,55346,15523,23736,3324,30646,1646,1084,1
0,27,63,1682247,228067,110038,281884,36910,285437,10415,18076,1
0,47,69,251995,24672,1805,23805,7028,19414,1025,1252,1
0,56,67,225583,30448,12683,25199,4800,56536,2017,935,1
26,56,67,166546,1437,482,4434,1046,7908,602,297,1
0,63,74,2681803,237822,327768,303682,21617,554033,44303,7505,1
0,57,74,145895,27002,3821,24954,2327,15555,10191,715,1
26,57,74,255583,50009,9491,15122,3620,42439,880,905,1
26,57,74,131058,2323,812,4090,547,4950,552,207,1
0,54,69,384968,178317,14251,78483,14612,71324,4243,5626,1
0,47,75,1490659,219710,26030,363322,75263,149368,69212,13010,1
26,47,75,213645,67012,11898,8761,8462,44196,949,832,1
26,47,75,249334,49356,13817,24756,6046,40118,1497,1478,1
26,47,75,615039,23825,2064,24118,18849,25775,1535,811,1
26,47,75,496307,22648,9048,6929,9801,5778,13165,722,1
26,47,75,274500,55363,12553,15223,5854,40953,730,1050,1
0,56,61,117007,8869,4047,9220,15209,46270,1277,1573,1
0,66,48,224923,16242,3322,4384,16057,23674,3713,1156,1
0,69,48,402353,40080,7401,17111,1440,23310,1384,472,1
26,69,48,198950,55707,9437,14512,7162,41318,1013,969,1
26,69,48,145127,4252,2623,1458,2651,8260,167,261,1
0,75,40,138498,39987,315,26213,1027,36163,871,2185,1
0,51,51,1402571,92567,3811,72598,4539,19278,42199,4645,1
26,51,51,58759,20573,5480,2923,897,8156,290,359,1
0,56,51,138544,6913,5930,4553,21310,34920,1510,1370,1
0,50,60,1541222,79993,32830,92720,31070,35559,17649,3325,1
0,40,57,104502,104187,12238,22714,1316,17547,1781,663,1
0,44,56,1216209,174472,18058,111501,20480,62195,12925,8771,1
0,27,66,92196,33199,1948,25145,1470,14336,5924,1362,1
26,27,66,107335,2251,2654,5327,1370,7839,144,300,1
0,41,61,90466,8996,8567,12843,3273,30700,887,706,1
0,60,64,1930600,161862,20808,362605,40698,650276,19259,16817,1
0,70,63,125000,11839,5331,15879,3108,38002,1228,866,1
0,78,63,269162,27670,5464,24464,677,31570,1400,1840,1
0,74,56,877675,46042,24142,19492,86621,41671,16330,5889,1
0,61,56,355668,125505,5822,74392,7139,52435,19534,6060,1
26,61,56,29841,13254,2486,4726,1119,7232,440,305,1
0,50,53,267114,73789,3154,25291,3208,25713,1014,748,1
0,34,56,868655,123812,30491,89118,27195,17728,66905,4017,1
0,35,60,2680477,561941,133041,361675,92648,701356,20665,22968,1
26,35,60,178926,1843,492,6670,1674,8518,1001,326,1
26,35,60,271781,39266,18643,23394,3723,7364,5326,1446,1
0,44,53,129175,39240,3174,16597,17949,45183,1620,615,1
26,44,53,36387,8841,1831,4841,2232,14321,404,320,1
26,44,53,340112,106184,4164,31151,747,38292,1127,1001,1
0,37,60,1809244,1153618,158092,516759,50348,149695,18798,17605,1
26,37,60,40483,5577,853,6916,1031,11896,847,348,1
26,37,60,51214,6943,5102,3231,4465,14239,1998,3068,1
0,43,53,1055596,246190,18357,88336,26688,61971,10006,3181,1
26,43,53,2921554,203799,26333,77439,53853,27545,47767,2753,1
26,43,53,227686,37279,3828,17914,4322,34512,2321,482,1
26,43,53,15288,9258,389,4503,918,9392,260,446,1
26,43,53,113081,18993,1964,8079,1413,6822,310,254,1
0,24,57,743378,161565,16053,116553,15442,18365,36595,5931,1
0,23,66,465619,124514,14377,115721,4328,153971,7793,6413,1
26,23,66,58819,2469,1405,6107,1002,8133,738,503,1
26,23,66,195096,116021,1627,15904,3025,36096,880,1339,1
0,26,60,221151,114389,17971,14797,2174,17525,2713,667,1
26,26,60,506998,48683,8046,9301,5035,44801,1667,820,1
0,34,64,206691,40272,12313,25030,3259,37948,764,1055,1
0,35,56,199966,92859,11822,23007,3109,8982,5591,929,1
26,35,56,133518,18339,3914,25108,3974,40330,1224,691,1
0,35,51,93615,50793,3745,21183,3881,51080,1858,962,1
0,51,53,879909,62958,5179,71479,16105,152705,11011,2052,1
26,51,53,445514,32070,247,17457,10040,19922,1361,726,1
0,53,51,215165,176997,61392,64965,6579,164415,11535,6228,1
0,64,47,379807,167023,18937,31724,5959,61556,3112,1522,1
26,64,47,182914,41005,16156,8006,5455,4525,11059,966,1
0,48,41,494013,80824,2589,11249,3832,7760,14302,867,1
0,41,48,1765129,140605,41776,166955,22902,134158,8328,6430,1
0,26,54,1395080,329999,100777,173623,7746,60134,33670,7483,1
26,26,54,73494,10875,1413,2200,1321,5077,1794,792,1
26,26,54,685480,14490,636,10986,3966,17816,1382,2230,1
0,23,63,848683,184457,143357,38518,41308,69148,24207,5269,1
0,38,75,36374,40661,10871,27891,1568,38912,915,687,1
26,38,75,28728,6662,1181,6232,663,8453,343,484,1
0,21,75,306113,243779,42055,127614,4151,26491,48798,6750,1
26,21,75,276359,36948,6233,27139,3835,34211,1619,1345,1
26,21,75,164926,32102,6919,28575,1731,40611,912,1251,1
26,21,75,110801,12171,1381,3723,476,6044,406,374,1
26,21,75,364156,38190,23659,15951,3465,8717,14461,936,1
0,37,70,352948,123586,12790,146279,7338,182525,10214,11183,1
26,37,70,366250,21968,4966,27022,1371,37196,2831,1339,1
0,35,67,380627,276105,48272,112070,21476,58906,2928,6120,1
0,23,78,314948,94702,18423,168578,3624,31260,36129,8491,1
26,23,78,327732,25709,2421,17232,8889,31275,1118,940,1
26,23,78,44078,14759,2210,5869,182,10556,369,422,1
0,37,75,256425,50199,16145,21264,3065,29870,499,1040,1
0,35,78,457693,38576,10569,93636,28040,73830,34486,9041,1
26,35,78,287845,17484,2349,26324,7648,34088,1529,776,1
0,44,78,162277,52514,8558,30731,2150,43073,753,1669,1
26,44,78,122549,88219,4461,21464,3151,31765,804,1418,1
26,44,78,309642,36211,14978,20665,3790,21515,3035,2996,1
0,56,67,787005,133748,27010,99443,22079,128067,6504,4242,1
26,56,67,333107,12784,1929,6055,16286,43714,925,1781,1
0,61,61,304703,170709,79463,23599,67496,173137,7152,3413,1
26,61,61,673114,29584,2743,3526,10149,7375,8736,2342,1
0,64,47,626561,30024,2621,7020,9242,32265,1295,977,1
0,70,34,675901,94873,14419,16878,75556,144350,7016,3827,1
26,70,34,842583,37191,5796,12789,7910,3835,11168,602,1
26,70,34,43399,9470,1408,2589,1516,6889,161,160,1
26,70,34,227761,45678,9279,16158,5060,46168,863,1108,1
0,80,24,134693,17656,5530,8511,23710,44471,1887,1835,1
0,74,24,1684714,335644,10546,111386,10010,122081,4110,2325,1
0,56,34,464758,85163,15940,22090,5859,13435,7014,1323,1
0,51,41,1173579,193256,25699,60373,11486,165512,4293,3302,1
0,50,53,2088844,132986,158479,307053,68871,625402,31952,19585,1
0,56,54,300361,30446,12717,10062,9691,35515,2316,1534,1
0,67,61,205241,22305,12224,17335,1271,19130,2852,1102,1
0,67,64,1342861,163854,46718,78154,22069,180038,9185,4712,1
0,61,51,240921,59380,1474,13402,6160,40185,3145,1158,1
0,41,61,620986,1006347,261231,748214,64666,111266,148529,21354,1
0,35,53,1974736,171812,32090,60302,40275,52266,10353,3591,1
0,29,48,146248,35917,7688,4425,11357,16115,2759,1388,1
0,21,57,1869596,75331,43372,26414,46146,24307,42785,11555,1
26,21,57,458928,20346,1509,15502,8463,22812,2677,706,1
26,21,57,2045924,304371,9431,18429,74787,118816,8618,7030,1
0,37,50,1110793,96621,18938,36665,24943,49563,15200,4426,1
0,37,53,1240572,397946,46049,204834,61728,119295,141820,9329,1
26,37,53,180478,54371,8455,5299,8311,31293,958,819,1
0,48,57,300384,54513,9478,49700,12848,131553,5766,3487,1
0,44,51,1420564,1040430,65708,255213,20095,152924,64127,16565,1
0,35,48,1365591,178175,28757,19419,28855,21512,16048,4667,1
0,35,50,887303,90451,47109,48280,32190,34151,29966,3967,1
0,27,57,185689,7511,2199,23076,4977,22419,2077,600,1
0,35,60,1117546,332140,28996,164042,134166,139218,157796,19451,1
0,43,70,1589367,64456,51896,53636,21167,49867,24493,3539,1
26,43,70,639591,13619,2946,11406,5110,24342,1761,632,1
0,41,66,2259992,531561,178833,123797,216941,112213,195790,14201,1
0,40,53,376700,126875,26147,12400,15510,89790,12522,4714,1
0,48,47,171046,20684,658,7273,8106,22554,1059,597,1
0,37,47,724695,543209,56019,348133,36573,56249,144387,14579,1
0,50,38,287243,16239,3056,4566,17630,20291,1794,746,1
0,60,37,1555238,160285,51803,50934,115604,459539,9908,9943,1
0,48,24,96057,204618,6337,4932,2214,35197,1408,915,1
0,57,27,867883,69438,61008,57393,7484,40439,21222,1678,1
0,38,53,2165424,149641,44843,323326,35607,37905,180135,7524,1
0,27,61,1402837,305908,106892,121685,44592,257861,51082,7853,1
0,40,64,702272,196646,3382,18737,10363,144824,5707,2837,1
0,41,61,1169732,63211,12178,95493,29791,46332,15231,5992,1
0,56,51,953363,95756,43452,63429,11794,100480,9043,2438,1
0,69,41,263830,265138,128222,135175,404405,1424765,83531,46896,1
0,75,60,2180254,10610,18208,23941,22483,73276,6408,3659,1
0,70,57,1579300,674271,334192,248241,33306,202862,178407,18932,1
0,66,61,211462,8292,2610,11278,5236,6466,5349,1073,1
26,66,61,796412,21538,13850,14062,5170,10942,2080,274,1
0,57,60,2307302,156338,19601,14680,19112,129138,7368,3355,1
0,43,54,1082386,116142,21931,27442,33086,39139,35772,4863,1
0,44,53,629381,595021,164385,263228,18797,214003,54610,11948,1
0,51,53,242848,69434,8436,111344,2490,120254,9385,3411,1
0,50,61,133623,25820,3171,10438,2296,23745,919,529,1
0,51,67,84058,18660,16422,3386,3700,9642,3291,1050,1
0,51,70,300052,14427,6763,13217,1874,8413,5348,1525,1
0,48,66,1920347,72328,17991,35545,20673,48860,10305,2527,1
26,48,66,350891,31535,10911,7054,8197,28346,516,960,1
0,51,70,231738,10103,1429,15536,3345,25950,504,466,1
0,60,69,1916682,165266,120554,96457,34447,245928,18013,14838,1
26,60,69,387293,29731,2737,4906,9025,29629,974,603,1
0,70,56,140562,16881,7382,5647,13601,33695,1624,852,1
0,77,60,519955,49474,23821,47715,15029,78181,5703,2881,1
0,63,64,263019,10989,5464,15827,9036,5356,6861,875,1
0,63,60,1384876,70538,25114,33058,15862,114207,2972,5700,1
0,63,64,127371,15550,5256,10305,4420,30835,416,653,1
0,60,64,110277,25284,5785,20592,1118,23654,1253,709,1
0,64,51,126542,68515,11797,7252,696,24583,666,431,1
0,66,54,3127067,162892,30885,213761,35433,425173,28241,11243,1
0,50,57,1161427,429204,241030,98517,125966,105627,147853,10114,1
26,50,57,67759,5579,971,2908,470,6250,128,129,1
0,44,54,1195380,85394,7351,38908,15612,33466,17842,4250,1
0,38,51,724786,346902,42802,20330,42254,55995,13786,1592,1
0,40,47,880915,61130,23589,31318,32259,132493,5046,2440,1
0,60,43,126660,6557,4854,9076,2787,31646,1382,1111,1
0,57,44,155440,109620,64330,41875,83759,41156,14760,6156,1
0,70,48,102807,31002,1209,13230,6552,32559,2542,885,1
0,57,54,771600,155988,41543,77470,19412,65623,16420,5105,1
0,41,54,69184,37198,176,16928,1821,10563,1849,1175,1
0,27,54,684825,263467,71679,52405,26776,13063,25230,5726,1
0,29,51,137520,28758,3953,6566,5000,33442,1219,495,1
0,24,47,773204,161567,30649,28252,31866,29149,15456,4181,1
0,27,57,403621,45998,84282,41238,11819,52719,37866,5070,1
0,50,54,1343770,93401,7129,56540,44369,66188,23932,2992,1
0,38,63,659729,147693,23351,36279,10222,41235,18193,3208,1
0,37,77,566660,77261,60448,46497,8412,24194,22292,2897,1
0,37,69,1272386,43579,16634,41401,16680,27039,8061,5354,1
0,43,69,494074,42647,21888,23196,17253,85802,4354,1527,1
0,47,75,1081835,92806,23234,43551,4418,49729,15198,3235,1
0,53,64,8954,13498,5282,1358,875,6007,465,370,1
0,56,53,1811820,202756,63470,37225,125162,129963,111643,8470,1
0,40,40,260177,75510,5366,4212,12225,12285,3752,594,1
0,41,41,198266,11701,7480,4243,2102,8646,2092,696,1
0,27,30,70365,94996,2391,9391,1078,7036,2997,599,1
0,24,40,1520836,303298,137778,165144,36548,168989,35450,6092,1
0,26,48,309732,202445,43619,15437,50774,41648,5771,3358,1
0,8,37,713291,403684,31175,54182,39813,16681,54850,3678,1
0,27,56,1039496,23903,65485,37806,11710,91442,12588,4087,1
0,38,54,93519,4519,7127,4568,2806,16178,397,1038,1
0,38,61,1789391,99767,31412,29476,9217,25883,16521,2381,1
0,53,78,571791,43031,35997,44338,11467,28697,13781,4515,1
0,35,83,939995,65435,94052,19370,16275,13183,28465,2087,1
26,35,83,178519,5900,1145,2198,179,4235,513,54,1
0,23,84,445878,94694,47111,49348,6912,41589,22975,2530,1
0,20,80,2676085,221380,43572,35010,52967,33240,23172,3279,1
26,20,80,536409,7484,868,5181,6284,15842,1546,446,1
0,20,70,705537,51316,9924,26946,19116,20216,12885,2666,1
0,26,56,538523,169648,13649,39778,19220,32811,17338,6091,1
0,27,51,1272490,79622,23142,33097,15142,40671,17352,2321,1
0,24,61,126897,173739,71634,90370,9046,25331,22911,7544,1
0,24,60,635892,181713,13183,72697,18604,61736,17376,4084,1
0,43,53,263455,7825,1754,3653,10335,22545,888,745,1
0,37,51,93703,38994,4124,11799,4525,6600,6664,1574,1
0,53,44,39939,29392,10797,10648,1104,30377,405,277,1
0,48,51,1679363,71027,25836,50787,19936,17322,24753,2457,1
26,48,51,224402,22992,1916,15781,3602,27247,825,871,1
0,34,67,424774,51105,19832,48166,20006,35941,18941,3375,1
26,34,67,606636,23810,8588,5810,8086,6065,11417,378,1
26,34,67,76956,2643,1754,3085,1109,3207,886,378,1
0,48,61,216416,24070,1011,9823,4811,24801,728,416,1
0,44,67,1621806,207759,158344,172987,36922,241024,49258,13783,1
0,41,64,538868,171179,41437,60399,12839,21523,21734,2368,1
0,43,53,902764,259692,23299,56234,12389,126556,5475,2709,1
0,29,60,94658,195860,59029,34590,19999,33682,21109,2777,1
0,35,54,98843,14939,2753,16161,1656,29733,343,985,1
26,35,54,417764,8416,7231,11087,1947,22003,842,1563,1
0,50,54,987365,33669,9353,45663,27384,41221,24301,3167,1
0,56,67,798970,28523,11101,93196,9688,106824,7528,3450,1
0,64,60,252875,25066,2705,4605,11935,12870,5511,1524,1
0,66,63,64714,1299,2793,16950,4299,23218,1231,1577,1
0,56,60,630340,162196,29438,39334,7131,30869,13106,3809,1
