connection,attention,meditation,delta, theta, low alpha, high alpha, low beta, high beta, low gamma, high gamma, id
26,47,81,61493,9220,8062,5583,6289,8935,1882,730,1
0,38,64,821360,325457,30757,108737,7496,96614,4898,3448,1
0,23,77,139947,26500,20833,39549,4459,12356,8221,1038,1
0,34,64,117092,94849,16903,14600,2200,43533,3192,1380,1
0,20,78,570696,146836,33386,185180,31956,52679,42243,6035,1
26,20,78,424296,37502,3762,30972,6287,47181,4720,889,1
0,29,84,160941,29468,8227,26262,1839,39801,2003,1470,1
26,29,84,54111,23293,2440,53991,824,43037,1474,1411,1
0,41,56,218179,78277,11322,6568,3303,46269,2371,1241,1
26,41,56,54487,4195,1004,2793,1176,2381,698,232,1
26,41,56,306486,68976,36700,24203,16306,6764,7261,2850,1
26,41,56,255826,43023,1995,15645,2518,24613,1812,657,1
0,48,60,154609,35085,12399,16371,3888,51317,2004,613,1
0,50,60,1133052,373743,181470,285489,19991,117865,35130,20757,1
0,50,63,2093893,328543,126414,549468,82759,611311,47448,14074,1
0,43,78,609961,104402,37506,48404,29132,43221,31857,8397,1
26,43,78,19722,25041,5757,5968,4875,10314,11920,2751,1
26,43,78,220235,166882,4659,39528,2046,50095,2116,2623,1
0,27,87,540188,210197,48168,118955,18346,51837,19973,3868,1
26,27,87,139970,38672,4168,28298,3492,53387,2914,2181,1
0,23,67,496703,712411,65477,85413,27066,85497,28778,3555,1
0,24,57,279472,51071,1105,34038,6145,60849,4168,981,1
0,30,56,481305,187447,22151,127181,29277,166520,10965,7017,1
0,24,51,348263,115836,29227,32103,5467,11022,2026,1779,1
26,24,51,129937,96487,5935,15453,4563,61442,4094,2150,1
26,24,51,234339,27738,6088,33871,5871,50391,2040,1555,1
0,26,60,555835,1483872,234275,401826,41785,242231,259412,22852,1
0,20,60,1885573,216631,17559,81730,35045,101786,2880,6108,1
0,20,57,1041913,172584,28459,99533,34570,161928,8036,5791,1
26,20,57,193240,12008,8244,23344,4111,37312,2014,2380,1
26,20,57,527642,152966,18411,32448,3905,55291,3002,2093,1
26,20,57,1870106,61183,105609,97676,23631,30680,16823,12513,1
26,20,57,572533,32611,6537,29337,4168,50411,822,1933,1
26,20,57,58929,8035,625,6592,2511,13883,393,193,1
0,24,60,1544136,364114,130688,129256,59145,71174,43604,5487,1
0,37,57,284107,27726,5118,9645,2180,16596,971,355,1
26,37,57,393005,81451,2504,54010,6736,71298,1528,2444,1
26,37,57,61198,4851,2496,4935,3252,9597,967,1511,1
0,27,61,588050,371956,54345,116437,15501,71160,22546,9507,1
